city,state,lat,long
Moorpark,California,34.28556,-118.88204
Moreno Valley,California,33.93752,-117.23059
Murrieta,California,33.55391,-117.21392
Newbury Park,California,34.18417,-118.91065
Newhall,California,34.38472,-118.53092
Newport Beach,California,33.61891,-117.92895
Norco,California,33.93113,-117.54866
North Hills,California,34.23639,-118.48472
North Hollywood,California,34.17223,-118.37897
Northridge,California,34.22834,-118.53675
Norwalk,California,33.90224,-118.08173
Oceanside,California,33.19587,-117.37948
Ontario,California,34.06334,-117.65089
Orange,California,33.78779,-117.85311
Oxnard,California,34.1975,-119.17705
Palm Desert,California,33.72255,-116.37697
Palm Springs,California,33.8303,-116.54529
Palmdale,California,34.57943,-118.11646
Panorama City,California,34.22473,-118.44981
Pasadena,California,34.14778,-118.14452
Perris,California,33.78252,-117.22865
Pittsburg,California,38.02798,-121.88468
Placentia,California,33.87224,-117.87034
Pomona,California,34.05529,-117.75228
Ramona,California,33.04171,-116.86808
Rancho Cucamonga,California,34.1064,-117.59311
Rancho Santa Margarita,California,33.64086,-117.6031
Redding,California,40.58654,-122.39168
Redlands,California,34.05557,-117.18254
Reseda,California,34.20112,-118.53647
Rialto,California,34.1064,-117.37032
Ridgecrest,California,35.62246,-117.6709
Riverside,California,33.95335,-117.39616
Roseville,California,38.75212,-121.28801
Sacramento,California,38.58157,-121.4944
Salida,California,37.70576,-121.08494
San Bernardino,California,34.10834,-117.28977
San Clemente,California,33.42697,-117.61199
San Diego,California,32.71571,-117.16472
San Dimas,California,34.10668,-117.80673
San Fernando,California,34.28195,-118.43897
San Jacinto,California,33.78391,-116.95864
San Juan Capistrano,California,33.50169,-117.66255
San Marcos,California,33.14337,-117.16614
San Pedro,California,33.73585,-118.29229
Santa Ana,California,33.74557,-117.86783
Santa Clarita,California,34.39166,-118.54259
Santa Fe Springs,California,33.94724,-118.08535
Santa Maria,California,34.95303,-120.43572
Santa Nella,California,38.49714,-122.96666
Santa Paula,California,34.35417,-119.05927
Santee,California,32.83838,-116.97392
Saugus,California,34.41139,-118.54009
Seal Beach,California,33.74141,-118.10479
Signal Hill,California,33.80446,-118.16785
Simi Valley,California,34.26945,-118.78148
Stanton,California,33.80252,-117.99312
Stevenson Ranch,California,34.39048,-118.57372
Stockton,California,37.9577,-121.29078
Tehachapi,California,35.13219,-118.44897
Temecula,California,33.49364,-117.14836
Thousand Palms,California,33.82002,-116.39029
Torrance,California,33.83585,-118.34063
Tujunga,California,34.25223,-118.28841
Tulare,California,36.20773,-119.34734
Tustin,California,33.74585,-117.82617
Twentynine Palms,California,34.13556,-116.05417
Upland,California,34.09751,-117.64839
Valencia,California,34.44361,-118.60953
Van Nuys,California,34.18667,-118.44897
Ventura,California,34.27834,-119.29317
Victorville,California,34.53611,-117.29116
Visalia,California,36.33023,-119.29206
Vista,California,33.20004,-117.24254
Walnut,California,34.02029,-117.86534
West Covina,California,34.06862,-117.93895
West Sacramento,California,38.58046,-121.53023
Westminster,California,33.75918,-118.00673
Whittier,California,33.97918,-118.03284
Wildomar,California,33.59891,-117.28004
Winchester,California,33.70697,-117.08447
Yorba Linda,California,33.88863,-117.81311
Yuba City,California,39.14045,-121.61691
Yucaipa,California,34.03363,-117.04309
Yucca Valley,California,34.11417,-116.43224
Aurora,Colorado,39.72943,-104.83192
Brighton,Colorado,39.98526,-104.82053
Castle Rock,Colorado,39.37221,-104.85609
Centennial,Colorado,39.57916,-104.87692
Colorado Springs,Colorado,38.83388,-104.82136
Commerce City,Colorado,39.80832,-104.93387
Denver,Colorado,39.73915,-104.9847
Englewood,Colorado,39.64777,-104.98776
Firestone,Colorado,40.11248,-104.93664
Grand Junction,Colorado,39.06387,-108.55065
Greeley,Colorado,40.42331,-104.70913
Lakewood,Colorado,39.70471,-105.08137
Lone Tree,Colorado,39.55171,-104.8863
Parker,Colorado,39.5186,-104.76136
Pueblo,Colorado,38.25445,-104.60914
Bradenton,Florida,27.49893,-82.57482
Kissimmee,Florida,28.30468,-81.41667
Melbourne,Florida,28.08363,-80.60811
Orlando,Florida,28.53834,-81.37924
Port Charlotte,Florida,26.97617,-82.09064
Port Orange,Florida,29.13832,-80.99561
Titusville,Florida,28.61222,-80.80755
Boise,Idaho,43.6135,-116.20345
Caldwell,Idaho,43.66294,-116.68736
Coeur Dalene,Idaho,47.6735,-116.7812
Kuna,Idaho,43.49183,-116.42012
Meridian,Idaho,43.61211,-116.39151
Nampa,Idaho,43.54072,-116.56346
Post Falls,Idaho,47.71796,-116.95159
Allen Park,Michigan,42.25754,-83.21104
Chesterfield,Michigan,34.73599,-80.08812
Clawson,Michigan,42.53337,-83.14632
Dearborn Heights,Michigan,42.33698,-83.27326
Livonia,Michigan,42.36837,-83.35271
Roseville,Michigan,42.49726,-82.93714
Southgate,Michigan,42.21393,-83.19381
Taylor,Michigan,42.24087,-83.26965
Warren,Michigan,42.49044,-83.01304
Philadelphia,Mississippi,32.77152,-89.11673
Carson City,Nevada,39.1638,-119.7674
Henderson,Nevada,36.0397,-114.98194
Las Vegas,Nevada,36.17497,-115.13722
Mesquite,Nevada,36.80553,-114.06719
North Las Vegas,Nevada,36.19886,-115.1175
Reno,Nevada,39.52963,-119.8138
Sparks,Nevada,39.53491,-119.75269
West Wendover,Nevada,40.7391,-114.07335
Alamogordo,New Mexico,32.89953,-105.96027
Albuquerque,New Mexico,35.08449,-106.65114
Bernalillo,New Mexico,35.30004,-106.55114
Gallup,New Mexico,35.52808,-108.74258
Los Lunas,New Mexico,34.80617,-106.73336
Rio Rancho,New Mexico,35.23338,-106.66447
Truth Or Consequences,New Mexico,33.1284,-107.25281
Durham,North Carolina,35.99403,-78.89862
Kernersville,North Carolina,36.11986,-80.07365
Powell,Ohio,40.15784,-83.07519
Whitehall,Ohio,39.96673,-82.88546
Moore,Oklahoma,35.33951,-97.4867
Norman,Oklahoma,35.22257,-97.43948
Oklahoma City,Oklahoma,35.46756,-97.51643
Stillwater,Oklahoma,36.11561,-97.05837
Tulsa,Oklahoma,36.15398,-95.99277
Yukon,Oklahoma,35.50672,-97.76254
Albany,Oregon,44.63651,-123.10593
Gresham,Oregon,45.49818,-122.43148
Hillsboro,Oregon,45.52289,-122.98983
Klamath Falls,Oregon,42.22487,-121.78167
Medford,Oregon,42.32652,-122.87559
Roseburg,Oregon,43.2165,-123.34174
Salem,Oregon,44.9429,-123.0351
Little River,South Carolina,33.87323,-78.61418
Socastee,South Carolina,33.6835,-78.99837
American Fork,Utah,40.3769,-111.79576
Bountiful,Utah,40.88939,-111.88077
Cedar City,Utah,37.67748,-113.06189
Draper City,Utah,40.5247,-111.8638
Farr West,Utah,41.29717,-112.02772
Hurricane,Utah,37.17526,-113.28995
Lake Point,Utah,40.68078,-112.263
Layton,Utah,41.06022,-111.97105
Lehi,Utah,40.39162,-111.85077
Logan,Utah,41.73549,-111.83439
Murray,Utah,40.66689,-111.88799
North Salt Lake,Utah,40.84856,-111.90688
Ogden,Utah,41.223,-111.97383
Orem,Utah,40.2969,-111.69465
Park City,Utah,40.64606,-111.49797
Riverdale,Utah,41.17689,-112.00383
Roy,Utah,41.16161,-112.02633
Salt Lake City,Utah,40.76078,-111.89105
Sandy,Utah,40.59161,-111.8841
Saratoga Springs,Utah,40.34912,-111.90466
South Jordan,Utah,40.56217,-111.92966
Spanish Fork,Utah,40.11496,-111.65492
Springville,Utah,40.16523,-111.61075
Taylorsville,Utah,40.66772,-111.93883
Washington,Utah,37.13054,-113.50829
West Jordan,Utah,40.60967,-111.9391
West Point,Utah,41.11828,-112.08411
West Valley City,Utah,40.69161,-112.00105
Chesapeake,Virginia,36.81904,-76.27494
Virginia Beach,Virginia,36.85293,-75.97799
College Place,Washington,46.0493,-118.3883
Federal Way,Washington,47.32232,-122.31262
Lacey,Washington,47.03426,-122.82319
Richland,Washington,46.28569,-119.28446
Vancouver,Washington,45.63873,-122.66149
Walla Walla,Washington,46.06458,-118.34302
Woodland,Washington,47.03426,-122.82319
